Time(PDT),Local Temp,Local Humidity,Local ET,CIMIS Temp,CIMIS Humidity,CIMIS ET,Water Time(seconds),Water Saved(Gallons)
1724,86.00,48.00,0.02,83.20,45.00,0.02,5.65,0.05
1825,83.92,50.13,0.02,83.40,44.00,0.02,5.15,0.19
1927,83.05,52.67,0.01,81.30,48.00,0.01,2.72,0.06
2029,81.41,54.47,0.01,79.60,44.00,0.01,2.41,0.14
2130,78.92,58.30,0.00,76.30,49.00,0.00,0.00,0.00
2232,77.62,61.62,0.00,73.30,61.00,0.00,0.00,0.00
2333,76.54,63.67,0.00,70.80,75.00,0.00,0.00,0.00
34,75.50,66.03,0.00,70.80,75.00,0.00,0.00,0.00
136,76.46,66.40,0.00,70.80,75.00,0.00,0.00,0.00
236,76.43,66.55,0.00,70.80,75.00,0.00,0.00,0.00
337,76.15,64.98,0.00,65.50,89.00,0.00,0.00,0.00
440,75.86,64.23,0.00,62.70,91.00,0.00,0.00,0.00
541,75.43,64.00,0.00,61.90,92.00,0.00,0.00,0.00
642,75.17,64.00,0.00,61.50,93.00,0.00,0.00,0.00
743,75.27,63.25,0.00,60.90,94.00,0.00,0.00,0.00
844,75.91,62.70,0.00,62.10,96.00,0.00,0.00,0.00
946,77.86,58.88,0.00,63.60,94.00,0.00,0.00,0.00
1047,78.45,58.72,0.02,67.60,83.00,0.01,4.79,-0.53
1148,79.10,58.23,0.03,72.70,71.00,0.02,7.74,-0.54
1250,80.06,59.78,0.02,77.00,61.00,0.02,6.19,-0.10
1351,80.55,59.67,0.03,78.00,63.00,0.03,9.54,-0.22
1452,81.40,60.83,0.03,78.50,61.00,0.03,9.10,-0.10
1553,82.45,60.12,0.03,79.10,61.00,0.03,9.26,-0.14
1655,82.40,56.03,0.03,81.00,56.00,0.03,8.90,-0.04
1756,82.04,55.87,0.02,79.00,56.00,0.02,6.07,-0.07
1857,80.14,54.82,0.02,77.50,57.00,0.02,6.27,-0.12
